model;prompt;energy;wcf;gwp;EIS
gemini-2.5-pro;compact;0,7700291006744671;0,779787192333417;0,7694805007029747;0,773098931236953
gemini-2.5-pro;few5;0,7975086898270635;0,8063867426929479;0,7952064100640622;0,7997006141946912
gemini-2.5-pro;few3;0,7582981192997916;0,768407778168113;0,7563904276203716;0,7610321083627588
gemini-2.5-pro;few1;0,8304464765496692;0,8381659712479226;0,8291481129357459;0,8325868535777792
gemini-2.5-pro;zero;0,781878808521369;0,7912671036253969;0,7807524235480806;0,7846327785649487
gemini-2.5-pro;5cot;0,8156295467651452;0,8238841547586725;0,8136412055859885;0,8177183023699355
gemini-2.5-pro;zerocot;0,7309088599563022;0,7417828509044271;0,7290036769648317;0,7338984626085203
gemini-2.5-pro;3cot;1,0;1,0;1,0;1,0
gemini-2.5-pro;1cot;0,7314987121956206;0,7423570788357641;0,7291989103777602;0,7343515671363816
gemini-2.5-flash;compact;0,055367841344505134;0,058439268835712356;0,055298612071836555;0,05636857408401801
gemini-2.5-flash;few5;0,04526426277952337;0,047804908702245894;0,04500778789783994;0,0460256531265364
gemini-2.5-flash;few3;0,06118986684953209;0,0645612666300808;0,0609336543765848;0,062228262618732565
gemini-2.5-flash;few1;0,04592723053465823;0,04850310243511284;0,04570397346477439;0,046711435478181816
gemini-2.5-flash;zero;0,05887933475773693;0,062132201446169925;0,058725447628123706;0,05991232794401019
gemini-2.5-flash;5cot;0,06279029255677021;0,06624339980002764;0,062416142718885896;0,06381661169189458
gemini-2.5-flash;zerocot;0,07577719011992835;0,07988134864007464;0,07562339583673328;0,07709397819891207
gemini-2.5-flash;3cot;0,07422604220274132;0,07825355957143144;0,07395078945442564;0,07547679707619946
gemini-2.5-flash;1cot;0,06207397333112287;0,06549055000002307;0,061861137845098724;0,06314188705874822
claude-sonnet-4-5;compact;0,012142988795157818;0,012175480084360202;0,01307888008280374;0,012465782987440588
claude-sonnet-4-5;few5;0,0021846086462075417;0,0021965511797004964;0,002567846542239962;0,0023163354560493334
claude-sonnet-4-5;few3;0,0020406416018014903;0,002052050488346238;0,002399929316000011;0,0021642071353825797
claude-sonnet-4-5;few1;0,003382349981131717;0,0033788832776958967;0,0038843492964284825;0,0035485275184186983
claude-sonnet-4-5;zero;0,009602394141937063;0,009624032699305876;0,010413665462869481;0,009880030768037474
claude-sonnet-4-5;5cot;0,0063502794107128885;0,006370332853293299;0,006901717560783145;0,006540776608263111
claude-sonnet-4-5;zerocot;0,017539389856653535;0,01760296430692385;0,018582115606320608;0,017908156589965998
claude-sonnet-4-5;3cot;0,0021455551075020315;0,0021557762316418384;0,002509894453573224;0,0022704085975723647
claude-sonnet-4-5;1cot;0,014980230718040558;0,015030386320741478;0,015958507484124872;0,015323041507635637
claude-haiku-4-5;compact;0,0002943621314412235;0,0003025287004437377;0,00030022452520477234;0,0002990384523632445
claude-haiku-4-5;few5;0,0;0,0;0,0;0,0
claude-haiku-4-5;few3;3,271510081938761e-06;3,343052909175321e-06;3,261807723064781e-06;3,292123571392954e-06
claude-haiku-4-5;few1;4,584829378993757e-05;4,674889799873128e-05;4,3612271785365245e-05;4,540315452467803e-05
claude-haiku-4-5;zero;0,00020802232412983493;0,00021401984056039627;0,00022633585868900316;0,0002161260077930781
claude-haiku-4-5;5cot;0,00019142715756720476;0,0001965772433615922;0,00019692303947676406;0,00019497581346852034
claude-haiku-4-5;zerocot;0,0007849840419014352;0,0008076173948212207;0,0008015291972708408;0,000798043544664499
claude-haiku-4-5;3cot;0,00028912113801879636;0,00029705407598176547;0,00029777926191762645;0,0002946514919727294
claude-haiku-4-5;1cot;0,0005979721140543117;0,0006148345994475388;0,0006200275073762869;0,0006109447402927124
gpt-5;compact;0,11689316032367446;0,12055718695285537;0,12014104996743988;0,11919713241465657
gpt-5;few5;0,05884996955990693;0,0609020104338864;0,06098710537509626;0,06024636178962986
gpt-5;few3;0,046992368003188414;0,048665083041849286;0,04870469573797211;0,048120715594336595
gpt-5;few1;0,052593965152558826;0,05444800268681282;0,054370846346646295;0,05380427139533931
gpt-5;zero;0,043856257563438646;0,04542579203057539;0,0458393085565174;0,045040452716843815
gpt-5;5cot;0,06465632226111648;0,06688789097390548;0,06746041580160296;0,06633487634554164
gpt-5;zerocot;0,030646601767972494;0,031768379390958765;0,03244217262237133;0,0316190512604342
gpt-5;3cot;0,05277656101080234;0,05463644499792865;0,055337557433612;0,05425018781411434
gpt-5;1cot;0,05378086919974453;0,0556728373284556;0,056852853806823395;0,05543552011167451
gpt-5-mini;compact;0,011760772078329188;0,0122053630553669;0,012082856548278249;0,012016330560658114
gpt-5-mini;few5;0,006313321293915744;0,006554458526178419;0,006512815882207307;0,006460198567433823
gpt-5-mini;few3;0,007079493458091011;0,007349466343095336;0,007326973908454838;0,007251977903213728
gpt-5-mini;few1;0,008160363967671577;0,008470893814166278;0,008400782660937255;0,008344013480925035
gpt-5-mini;zero;0,0038927029746610234;0,004042263625583808;0,004041749496120186;0,003992238698788339
gpt-5-mini;5cot;0,007644335073236471;0,007935520135159708;0,007929973720634012;0,007836609643010063
gpt-5-mini;zerocot;0,002436893479222476;0,0025310310394858764;0,0025393301214658394;0,002502418213391397
gpt-5-mini;3cot;0,008442881003551705;0,00876398793070908;0,008754643143470714;0,008653837359243834
gpt-5-mini;1cot;0,007853061017143477;0,008152074694819855;0,008150107949439612;0,008051747887134315
